algorithm,instance,nodes,edges,diameter,diam_lB,diam_uB,radius,time,sep_size,balance,ratio,exit
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,42298,356,0.499580,0.054393,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,2192,356,0.499580,0.054393,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,2397,356,0.499580,0.054393,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,114,356,0.499580,0.054393,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,2481,356,0.499580,0.054393,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,38288,332,0.483744,0.051770,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,2522,332,0.483744,0.051770,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,2664,332,0.483744,0.051770,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,123,332,0.483744,0.051770,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,2716,332,0.483744,0.051770,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,41832,344,0.491842,0.053078,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,2712,344,0.491842,0.053078,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,2909,344,0.491842,0.053078,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,136,344,0.491842,0.053078,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,2913,344,0.491842,0.053078,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,40778,352,0.476001,0.055547,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,2961,352,0.476001,0.055547,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,3027,352,0.476001,0.055547,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,156,352,0.476001,0.055547,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,3053,352,0.476001,0.055547,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,43470,200,0.507346,0.030008,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1322,200,0.507346,0.030008,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,1321,200,0.507346,0.030008,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,145,200,0.507346,0.030008,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1306,200,0.507346,0.030008,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,42438,200,0.490553,0.030689,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1573,200,0.490553,0.030689,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,1580,200,0.490553,0.030689,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,167,200,0.490553,0.030689,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1526,200,0.490553,0.030689,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,45431,200,0.486972,0.030840,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1430,200,0.486972,0.030840,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,1462,200,0.486972,0.030840,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,174,200,0.486972,0.030840,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1438,200,0.486972,0.030840,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,46182,200,0.506428,0.030044,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1517,200,0.506428,0.030044,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,1606,200,0.506428,0.030044,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,182,200,0.506428,0.030044,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1506,200,0.506428,0.030044,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,45609,200,0.486079,0.030878,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1515,200,0.486079,0.030878,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,1541,200,0.486079,0.030878,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,195,200,0.486079,0.030878,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1532,200,0.486079,0.030878,post
